,GlobalId,Name,LongName,Description,ObjectType,IfcType,IsExternal,GrossPlannedArea,PubliclyAccessible,HandicapAccessible,Height,FinishCeilingHeight,GrossPerimeter,NetPerimeter,GrossFloorArea,NetFloorArea,GrossCeilingArea,NetCeilingArea,GrossVolume,NetVolume,age,persona,ownership,persona_encoded,ownership_encoded,LocationX,LocationY,LocationZ,category,key,type,type_encoded,orientation,orientation_encoded,in_out,in_out_encoded,inc_rad,sun_h,wind_exp,usability,usability_encoded,green_suitability,green_suitability_encoded,longest edge length,activity,activity_encoded,Tag,SolarRad,LoadBearing,Compartmentation,Length,Width,GrossFootprintArea,Perimeter,GrossArea,NetArea
1kduoJoTH6eA1ZCcNRfUAa,1kduoJoTH6eA1ZCcNRfUAa,N/A,LVL2_1B_63,N/A,N/A,IfcSpace,True,18.0000007152557,False,True,3.0,3.0,18.0000002384186,18.0000002384186,18.0000007152557,18.0000007152557,18.0000007152557,18.0000007152557,54.0000021457672,54.0000021457672,64.0,academics,Owner,1.0,0.0,-34.35804,10.576096,7.5,IfcSpace,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
0yDXoop4j4S9Dkw1yiajF$,0yDXoop4j4S9Dkw1yiajF$,N/A,LVL3_1B_32,N/A,N/A,IfcSpace,True,18.0000007152557,False,True,3.0,3.0,18.0000002384186,18.0000002384186,18.0000007152557,18.0000007152557,18.0000007152557,18.0000007152557,54.0000021457672,54.0000021457672,60.0,diy_enthusiasts/creatives,Owner,3.0,0.0,-25.35804,10.576096,10.5,IfcSpace,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
0jyJOWOyn3BxQQTDXmJoHi,0jyJOWOyn3BxQQTDXmJoHi,N/A,LVL3_1B_39,N/A,N/A,IfcSpace,True,18.0000007152557,False,True,3.0,3.0,18.0000002384186,18.0000002384186,18.0000007152557,18.0000007152557,18.0000007152557,18.0000007152557,54.0000021457672,54.0000021457672,38.0,influencers,Owner,5.0,0.0,-40.35804,10.576096,10.5,IfcSpace,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
0wr6NyM_DBVPHO3R5kCTWX,0wr6NyM_DBVPHO3R5kCTWX,N/A,LVL4_1B_16,N/A,N/A,IfcSpace,True,18.0000007152557,False,True,3.0,3.0,18.0000002384186,18.0000002384186,18.0000007152557,18.0000007152557,18.0000007152557,18.0000007152557,54.0000021457672,54.0000021457672,38.0,sporties,Owner,8.0,0.0,-16.35804,10.576096,13.5,IfcSpace,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
1SuvU_A397R94Y4AQ5_IBS,1SuvU_A397R94Y4AQ5_IBS,N/A,LVL4_1B_22,N/A,N/A,IfcSpace,True,18.0000007152557,False,True,3.0,3.0,18.0000002384186,18.0000002384186,18.0000007152557,18.0000007152557,18.0000007152557,18.0000007152557,54.0000021457672,54.0000021457672,61.0,active_later_living,Owner,2.0,0.0,-23.85804,15.076096,13.5,IfcSpace,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
3E7ko_VNfAoQGDQa$OdhL$,3E7ko_VNfAoQGDQa$OdhL$,N/A,LVL0,N/A,N/A,IfcSpace,True,2601.0,False,True,3.0,3.0,0.0,0.0,2601.0,2601.0,2601.0,2601.0,7803.0,7803.0,0.0,N/A,N/A,0.0,0.0,-23.930704,44.956719,1.5,IfcSpace,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
18GP_AZJT6oxzleB0DGf8u,18GP_AZJT6oxzleB0DGf8u,N/A,LVL_1_O1,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,35.9999989271164,35.9999989271164,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-3.60804,12.826096,4.5,IfcSpace,1.0,terrace,1.0,SE,5.0,outdoor,0.0,914.72,12.04,3.22,warm_sunny,1.0,suitable,0.0,9.0,Outdoor Cinema/Event Space,7.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
3XilVzNOn5wxeYR5UYdmgp,3XilVzNOn5wxeYR5UYdmgp,N/A,LVL_1_O2,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-11.85804,10.576096,4.5,IfcSpace,2.0,balcony,0.0,S,0.0,outdoor,0.0,131.26,3.77,3.34,warm_sunny,1.0,suitable,0.0,3.0,Sunbath,3.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
22QJAv5iH7RxVYrPSlTeO8,22QJAv5iH7RxVYrPSlTeO8,N/A,LVL_1_O3,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-19.35804,10.576096,4.5,IfcSpace,3.0,terrace,1.0,S,0.0,outdoor,0.0,315.09,5.44,3.34,warm_sunny,1.0,suitable,0.0,6.0,Outdoor Meeting Space,11.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
2FARS0g$bEufmKg6CmbtkM,2FARS0g$bEufmKg6CmbtkM,N/A,LVL_1_O4,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,8.99999964237213,8.99999964237213,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-2.85804,22.576096,4.5,IfcSpace,4.0,balcony,0.0,E,3.0,outdoor,0.0,169.66,10.21,4.88,cool_breezy,0.0,suitable,0.0,3.0,Residents Space,1.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
1mX84LyDTEaPwF2ZK_b0tQ,1mX84LyDTEaPwF2ZK_b0tQ,N/A,LVL_1_O5,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-11.85804,22.576096,4.5,IfcSpace,5.0,balcony,0.0,E,3.0,indoor,1.0,0.0,0.0,4.88,cool_breezy,0.0,not_suitable,1.0,3.0,Residents Space,1.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
0UK70Se3jCsvemx_545bgd,0UK70Se3jCsvemx_545bgd,N/A,LVL_1_O6,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,8.99999964237213,8.99999964237213,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-2.85804,28.576096,4.5,IfcSpace,6.0,balcony,0.0,E,3.0,outdoor,0.0,169.66,10.21,4.88,cool_breezy,0.0,suitable,0.0,3.0,Residents Space,1.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
3G5V5HFWX8EfhuibugvOFy,3G5V5HFWX8EfhuibugvOFy,N/A,LVL_1_O7,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-28.35804,10.576096,4.5,IfcSpace,7.0,terrace,1.0,SE,5.0,outdoor,0.0,315.09,5.44,3.22,warm_sunny,1.0,suitable,0.0,6.0,Viewpoint,15.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
3w587ijiHBQgBPuFvqg23P,3w587ijiHBQgBPuFvqg23P,N/A,LVL_1_O8,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-17.85804,22.576096,4.5,IfcSpace,8.0,balcony,0.0,N,2.0,outdoor,0.0,10.56,0.0,3.71,comfortable,2.0,not_suitable,1.0,3.0,Residents Space,1.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
2FKkmrnFf5XQM_7KL2AvEA,2FKkmrnFf5XQM_7KL2AvEA,N/A,LVL_1_O9,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-14.85804,25.576096,4.5,IfcSpace,9.0,balcony,0.0,SW,4.0,outdoor,0.0,31.31,1.04,4.65,cool_breezy,0.0,not_suitable,1.0,3.0,Biodiversity balcony,13.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
0UDBmfQZrErOMQmogTLOqE,0UDBmfQZrErOMQmogTLOqE,N/A,LVL_1_O10,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-14.85804,33.076096,4.5,IfcSpace,10.0,terrace,1.0,W,1.0,outdoor,0.0,185.51,5.01,3.3,warm_sunny,1.0,suitable,0.0,6.0,Healing Garden,4.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
2jPfXMySL2wOOjWr1FIoYN,2jPfXMySL2wOOjWr1FIoYN,N/A,LVL_1_O11,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-26.85804,22.576096,4.5,IfcSpace,11.0,balcony,0.0,E,3.0,indoor,1.0,0.0,0.0,4.88,cool_breezy,0.0,not_suitable,1.0,3.0,Residents Space,1.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
1VSKeFPmL1MQBV$dY7ANxO,1VSKeFPmL1MQBV$dY7ANxO,N/A,LVL_1_O12,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-39.60804,11.326096,4.5,IfcSpace,12.0,terrace,1.0,SW,4.0,outdoor,0.0,735.59,7.74,4.65,warm_sunny,1.0,suitable,0.0,9.0,Urban Agriculture Garden,14.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
0Q$cQfIvfCNRY2dOm0X0Xn,0Q$cQfIvfCNRY2dOm0X0Xn,N/A,LVL_1_O13,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-5.85804,40.576096,4.5,IfcSpace,13.0,balcony,0.0,W,1.0,indoor,1.0,0.0,0.0,3.3,comfortable,2.0,not_suitable,1.0,3.0,Residents Space,1.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
3Gh9RrRJL1LgKoX2uEb_HS,3Gh9RrRJL1LgKoX2uEb_HS,N/A,LVL_1_O14,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-32.85804,22.576096,4.5,IfcSpace,14.0,balcony,0.0,W,1.0,indoor,1.0,0.0,0.0,3.3,comfortable,2.0,not_suitable,1.0,3.0,Residents Space,1.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
08xUECFGrBlvrHt9c9mcoq,08xUECFGrBlvrHt9c9mcoq,N/A,LVL_1_O15,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,8.99999964237213,8.99999964237213,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-2.85804,43.576096,4.5,IfcSpace,15.0,balcony,0.0,E,3.0,outdoor,0.0,169.66,10.21,4.88,cool_breezy,0.0,suitable,0.0,3.0,Residents Space,1.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
1wA7gl$9DAzhO7Lto0Lacl,1wA7gl$9DAzhO7Lto0Lacl,N/A,LVL_1_O16,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-14.85804,42.076096,4.5,IfcSpace,16.0,terrace,1.0,W,1.0,outdoor,0.0,195.14,5.54,3.3,warm_sunny,1.0,suitable,0.0,6.0,Flexible Space,9.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
3nZ4hOVf19PepZTLFxtPmU,3nZ4hOVf19PepZTLFxtPmU,N/A,LVL_1_O17,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-41.85804,21.076096,4.5,IfcSpace,17.0,terrace,1.0,W,1.0,outdoor,0.0,202.08,5.66,3.3,warm_sunny,1.0,suitable,0.0,6.0,Sports,6.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
00OnET0tT7i9$sWsyAsKar,00OnET0tT7i9$sWsyAsKar,N/A,LVL_1_O18,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,8.99999964237213,8.99999964237213,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-2.85804,49.576096,4.5,IfcSpace,18.0,balcony,0.0,E,3.0,outdoor,0.0,169.66,10.21,4.88,cool_breezy,0.0,suitable,0.0,3.0,Residents Space,1.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
1HKIehRAj3FuSw0CJwrID$,1HKIehRAj3FuSw0CJwrID$,N/A,LVL_1_O19,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-41.85804,28.576096,4.5,IfcSpace,19.0,balcony,0.0,NW,6.0,outdoor,0.0,87.86,5.38,3.3,comfortable,2.0,suitable,0.0,3.0,Offline Retreat,2.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
0rm6JwZzzCLv9_$UbziagD,0rm6JwZzzCLv9_$UbziagD,N/A,LVL_1_O20,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-14.85804,49.576096,4.5,IfcSpace,20.0,balcony,0.0,W,1.0,outdoor,0.0,85.06,5.29,3.3,comfortable,2.0,suitable,0.0,3.0,Sunbath,3.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
23CQDseIXCghOJwx0bIKHb,23CQDseIXCghOJwx0bIKHb,N/A,LVL_1_O21,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,8.99999964237213,8.99999964237213,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-2.85804,55.576096,4.5,IfcSpace,21.0,balcony,0.0,E,3.0,outdoor,0.0,169.66,10.21,4.88,cool_breezy,0.0,suitable,0.0,3.0,Residents Space,1.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
3XnfkT7tXAu9k3t8FlvsQt,3XnfkT7tXAu9k3t8FlvsQt,N/A,LVL_1_O22,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-14.85804,55.576096,4.5,IfcSpace,22.0,balcony,0.0,W,1.0,outdoor,0.0,85.06,5.29,3.3,comfortable,2.0,suitable,0.0,3.0,Biodiversity balcony,13.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
3hdGjUgAvFDfQBLgqYfyYc,3hdGjUgAvFDfQBLgqYfyYc,N/A,LVL_1_O23,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-41.85804,34.576096,4.5,IfcSpace,23.0,balcony,0.0,SW,4.0,outdoor,0.0,87.86,5.38,4.65,cool_breezy,0.0,suitable,0.0,3.0,Biodiversity balcony,13.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
2dyx$GN0zFI8fbv15Lfss6,2dyx$GN0zFI8fbv15Lfss6,N/A,LVL_1_O24,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-41.85804,40.576096,4.5,IfcSpace,24.0,balcony,0.0,W,1.0,outdoor,0.0,87.86,5.38,3.3,comfortable,2.0,suitable,0.0,3.0,Offline Retreat,2.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
1IGpA38PPDBuXbU8rsSktJ,1IGpA38PPDBuXbU8rsSktJ,N/A,LVL_1_O25,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-14.85804,61.576096,4.5,IfcSpace,25.0,balcony,0.0,W,1.0,outdoor,0.0,83.21,5.29,3.3,comfortable,2.0,suitable,0.0,3.0,Sunbath,3.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
3Yh1uBcdb7bv9whDKbIjWN,3Yh1uBcdb7bv9whDKbIjWN,N/A,LVL_1_O26,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-5.85804,67.576096,4.5,IfcSpace,26.0,balcony,0.0,W,1.0,indoor,1.0,0.0,0.0,3.3,comfortable,2.0,not_suitable,1.0,3.0,Residents Space,1.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
1jfYBAUwbAEPWboLRQvzro,1jfYBAUwbAEPWboLRQvzro,N/A,LVL_1_O27,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-41.85804,46.576096,4.5,IfcSpace,27.0,balcony,0.0,W,1.0,outdoor,0.0,87.86,5.38,3.3,comfortable,2.0,suitable,0.0,3.0,Offline Retreat,2.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
260$O7L0rAdPHrEuY_CMrt,260$O7L0rAdPHrEuY_CMrt,N/A,LVL_1_O28,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-32.85804,58.576096,4.5,IfcSpace,28.0,balcony,0.0,NW,6.0,indoor,1.0,0.0,0.0,3.3,comfortable,2.0,not_suitable,1.0,3.0,Residents Space,1.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
0Vieex0lb4ORQ5yHo1EQx7,0Vieex0lb4ORQ5yHo1EQx7,N/A,LVL_1_O29,N/A,N/A,IfcSpace,N/A,0.0,N/A,N/A,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,0.0,0.0,-41.85804,54.076096,4.5,IfcSpace,29.0,terrace,1.0,W,1.0,outdoor,0.0,202.08,5.66,3.3,warm_sunny,1.0,suitable,0.0,6.0,Outdoor Cinema/Event Space,7.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0
