resident,space,activity,distance,weight
H29,O5,Viewpoint,3.75,0.0632
H29,O5,Healing Garden,3.75,0.0211
H29,O5,Residents Space,3.75,0.0042
H30,O5,Offline Retreat,6.05,0.0567
H30,O5,Outdoor Meeting Room,6.05,0.0709
H30,O5,Flexible Space,6.05,0.0397
H30,O5,Creative Corridor,6.05,0.0567
H30,O5,Viewpoint,6.05,0.0426
H30,O5,Healing Garden,6.05,0.0142
H30,O5,Residents Space,6.05,0.0028
H27,O5,Outdoor Cinema/Event Space,7.39,0.0715
H27,O5,Creative Corridor,7.39,0.0358
H27,O5,Viewpoint,7.39,0.0119
H27,O5,Residents Space,7.39,0.0119
H27,O5,Community Pool/BBQ,7.39,0.0834
H27,O5,Outdoor Meeting Room,7.39,0.0238
H9,O5,Playground,8.06,0.0166
H9,O5,Sports,8.06,0.0828
H9,O5,Community Pool/BBQ,8.06,0.0497
H9,O5,Sunbath,8.06,0.0066
H9,O5,Viewpoint,8.06,0.0083
H9,O5,Residents Space,8.06,0.0017
H2,O5,Playground,9.12,0.0099
H2,O5,Sports,9.12,0.0494
H2,O5,Community Pool/BBQ,9.12,0.0296
H2,O5,Sunbath,9.12,0.004
H2,O5,Viewpoint,9.12,0.0049
H2,O5,Residents Space,9.12,0.001
H9,O6,Playground,2.83,0.0392
H9,O6,Sports,2.83,0.1958
H9,O6,Community Pool/BBQ,2.83,0.1175
H9,O6,Sunbath,2.83,0.0157
H9,O6,Viewpoint,2.83,0.0196
H9,O6,Residents Space,2.83,0.0039
H1,O6,Flexible Space,3.35,0.023
H1,O6,Community Pool/BBQ,3.35,0.092
H1,O6,Outdoor Cinema/Event Space,3.35,0.0575
H1,O6,Viewpoint,3.35,0.023
H1,O6,Offline Retreat,3.35,0.0207
H1,O6,Residents Space,3.35,0.0023
H27,O6,Outdoor Cinema/Event Space,9.28,0.0584
H27,O6,Creative Corridor,9.28,0.0292
H27,O6,Viewpoint,9.28,0.0097
H27,O6,Residents Space,9.28,0.0097
H27,O6,Community Pool/BBQ,9.28,0.0681
H27,O6,Outdoor Meeting Room,9.28,0.0195
H30,O6,Offline Retreat,9.75,0.0372
H30,O6,Outdoor Meeting Room,9.75,0.0465
H30,O6,Flexible Space,9.75,0.026
H30,O6,Creative Corridor,9.75,0.0372
H30,O6,Viewpoint,9.75,0.0279
H30,O6,Healing Garden,9.75,0.0093
H30,O6,Residents Space,9.75,0.0019
H32,O6,Outdoor Cinema/Event Space,9.75,0.0744
H32,O6,Creative Corridor,9.75,0.0465
H32,O6,Flexible Space,9.75,0.0279
H32,O6,Offline Retreat,9.75,0.0186
H32,O6,Viewpoint,9.75,0.0167
H32,O6,Residents Space,9.75,0.0019
H28,O7,Outdoor Cinema/Event Space,5.03,0.0995
H28,O7,Creative Corridor,5.03,0.0498
H28,O7,Viewpoint,5.03,0.0166
H28,O7,Residents Space,5.03,0.0166
H28,O7,Community Pool/BBQ,5.03,0.1161
H28,O7,Outdoor Meeting Room,5.03,0.0332
H31,O7,Urban Agriculture Garden,5.03,0.0995
H31,O7,Healing Garden,5.03,0.0829
H31,O7,Biodiversity Balcony,5.03,0.0166
H31,O7,Viewpoint,5.03,0.0365
H31,O7,Green Corridor,5.03,0.0332
H31,O7,Offline Retreat,5.03,0.0464
H31,O7,Community Pool/BBQ,5.03,0.0166
H31,O7,Residents Space,5.03,0.0033
H34,O7,Outdoor Cinema/Event Space,9.86,0.046
H34,O7,Creative Corridor,9.86,0.0184
H34,O7,Viewpoint,9.86,0.0368
H34,O7,Flexible Space,9.86,0.0276
H34,O7,Community Pool/BBQ,9.86,0.046
H34,O7,Residents Space,9.86,0.0092
H38,O7,Sports,12.75,0.0509
H38,O7,Outdoor Cinema/Event Space,12.75,0.0436
H38,O7,Community Pool/BBQ,12.75,0.0509
H2,O7,Playground,12.9,0.0072
H2,O7,Sports,12.9,0.036
H2,O7,Community Pool/BBQ,12.9,0.0216
H2,O7,Sunbath,12.9,0.0029
H2,O7,Viewpoint,12.9,0.0036
H2,O7,Residents Space,12.9,0.0007
H2,O8,Playground,3.35,0.023
H2,O8,Sports,3.35,0.1149
H2,O8,Community Pool/BBQ,3.35,0.069
H2,O8,Sunbath,3.35,0.0092
H2,O8,Viewpoint,3.35,0.0115
H2,O8,Residents Space,3.35,0.0023
H29,O8,Offline Retreat,3.75,0.0842
H29,O8,Outdoor Meeting Room,3.75,0.1053
H29,O8,Flexible Space,3.75,0.0589
H29,O8,Creative Corridor,3.75,0.0842
H29,O8,Viewpoint,3.75,0.0632
H29,O8,Healing Garden,3.75,0.0211
H29,O8,Residents Space,3.75,0.0042
H33,O8,Flexible Space,7.08,0.0248
H33,O8,Community Pool/BBQ,7.08,0.099
H33,O8,Outdoor Cinema/Event Space,7.08,0.0619
H33,O8,Viewpoint,7.08,0.0248
H33,O8,Offline Retreat,7.08,0.0223
H33,O8,Residents Space,7.08,0.0025
H30,O8,Offline Retreat,7.97,0.0446
H30,O8,Outdoor Meeting Room,7.97,0.0557
H30,O8,Flexible Space,7.97,0.0312
H30,O8,Creative Corridor,7.97,0.0446
H30,O8,Viewpoint,7.97,0.0334
H30,O8,Healing Garden,7.97,0.0111
H30,O8,Residents Space,7.97,0.0022
H26,O8,Creative Corridor,10.2,0.0625
H26,O8,Flexible Space,10.2,0.0446
H26,O8,Outdoor Meeting Room,10.2,0.0339
H26,O8,Urban Agriculture Garden,10.2,0.0179
H26,O8,Offline Retreat,10.2,0.0089
H26,O8,Residents Space,10.2,0.0018
H30,O9,Offline Retreat,3.75,0.0842
H30,O9,Outdoor Meeting Room,3.75,0.1053
H30,O9,Flexible Space,3.75,0.0589
H30,O9,Creative Corridor,3.75,0.0842
H30,O9,Viewpoint,3.75,0.0632
H30,O9,Healing Garden,3.75,0.0211
H30,O9,Residents Space,3.75,0.0042
H29,O9,Offline Retreat,5.25,0.064
H29,O9,Outdoor Meeting Room,5.25,0.08
H29,O9,Flexible Space,5.25,0.0448
H29,O9,Creative Corridor,5.25,0.064
H29,O9,Viewpoint,5.25,0.048
H29,O9,Healing Garden,5.25,0.016
H29,O9,Residents Space,5.25,0.0032
H2,O9,Playground,7.5,0.0118
H2,O9,Sports,7.5,0.0588
H2,O9,Community Pool/BBQ,7.5,0.0353
H2,O9,Sunbath,7.5,0.0047
H2,O9,Viewpoint,7.5,0.0059
H2,O9,Residents Space,7.5,0.0012
H33,O9,Flexible Space,9.03,0.0199
H33,O9,Community Pool/BBQ,9.03,0.0798
H33,O9,Outdoor Cinema/Event Space,9.03,0.0499
H33,O9,Viewpoint,9.03,0.0199
H33,O9,Offline Retreat,9.03,0.0179
H33,O9,Residents Space,9.03,0.002
H9,O9,Playground,10.05,0.0136
H9,O9,Sports,10.05,0.0679
H9,O9,Community Pool/BBQ,10.05,0.0407
H9,O9,Sunbath,10.05,0.0054
H9,O9,Viewpoint,10.05,0.0068
H9,O9,Residents Space,10.05,0.0014
H30,O10,Offline Retreat,5.03,0.0663
H30,O10,Outdoor Meeting Room,5.03,0.0829
H30,O10,Flexible Space,5.03,0.0464
H30,O10,Creative Corridor,5.03,0.0663
H30,O10,Viewpoint,5.03,0.0498
H30,O10,Healing Garden,5.03,0.0166
H30,O10,Residents Space,5.03,0.0033
H35,O10,Sports,5.03,0.1161
H35,O10,Outdoor Cinema/Event Space,5.03,0.0995
H35,O10,Community Pool/BBQ,5.03,0.1161
H1,O10,Flexible Space,10.61,0.0086
H1,O10,Community Pool/BBQ,10.61,0.0345
H1,O10,Outdoor Cinema/Event Space,10.61,0.0215
H1,O10,Viewpoint,10.61,0.0086
H1,O10,Offline Retreat,10.61,0.0078
H1,O10,Residents Space,10.61,0.0009
H33,O10,Flexible Space,11.25,0.0163
H33,O10,Community Pool/BBQ,11.25,0.0653
H33,O10,Outdoor Cinema/Event Space,11.25,0.0408
H33,O10,Viewpoint,11.25,0.0163
H33,O10,Offline Retreat,11.25,0.0147
H33,O10,Residents Space,11.25,0.0016
H9,O10,Playground,11.93,0.0116
H9,O10,Sports,11.93,0.058
H9,O10,Community Pool/BBQ,11.93,0.0348
H9,O10,Sunbath,11.93,0.0046
H9,O10,Viewpoint,11.93,0.0058
H9,O10,Residents Space,11.93,0.0012
H34,O11,Outdoor Cinema/Event Space,3.75,0.1053
H34,O11,Creative Corridor,3.75,0.0421
H34,O11,Viewpoint,3.75,0.0842
H34,O11,Flexible Space,3.75,0.0632
H34,O11,Community Pool/BBQ,3.75,0.1053
H34,O11,Residents Space,3.75,0.0211
H33,O11,Flexible Space,4.8,0.0345
H33,O11,Community Pool/BBQ,4.8,0.1379
H33,O11,Outdoor Cinema/Event Space,4.8,0.0862
H33,O11,Viewpoint,4.8,0.0345
H33,O11,Offline Retreat,4.8,0.031
H33,O11,Residents Space,4.8,0.0034
H2,O11,Playground,6.18,0.0139
H2,O11,Sports,6.18,0.0696
H2,O11,Community Pool/BBQ,6.18,0.0418
H2,O11,Sunbath,6.18,0.0056
H2,O11,Viewpoint,6.18,0.007
H2,O11,Residents Space,6.18,0.0014
H37,O11,Playground,7.97,0.0223
H37,O11,Sports,7.97,0.1115
H37,O11,Community Pool/BBQ,7.97,0.0669
H37,O11,Sunbath,7.97,0.0089
H37,O11,Viewpoint,7.97,0.0111
H37,O11,Residents Space,7.97,0.0022
H28,O11,Outdoor Cinema/Event Space,10.2,0.0536
H28,O11,Creative Corridor,10.2,0.0268
H28,O11,Viewpoint,10.2,0.0089
H28,O11,Residents Space,10.2,0.0089
H28,O11,Community Pool/BBQ,10.2,0.0625
H28,O11,Outdoor Meeting Room,10.2,0.0179
H38,O12,Sports,5.25,0.112
H38,O12,Outdoor Cinema/Event Space,5.25,0.096
H38,O12,Community Pool/BBQ,5.25,0.112
H31,O12,Urban Agriculture Garden,6.91,0.0759
H31,O12,Healing Garden,6.91,0.0632
H31,O12,Biodiversity Balcony,6.91,0.0126
H31,O12,Viewpoint,6.91,0.0278
H31,O12,Green Corridor,6.91,0.0253
H31,O12,Offline Retreat,6.91,0.0354
H31,O12,Community Pool/BBQ,6.91,0.0126
H31,O12,Residents Space,6.91,0.0025
H34,O12,Outdoor Cinema/Event Space,13.27,0.035
H34,O12,Creative Corridor,13.27,0.014
H34,O12,Viewpoint,13.27,0.028
H34,O12,Flexible Space,13.27,0.021
H34,O12,Community Pool/BBQ,13.27,0.035
H34,O12,Residents Space,13.27,0.007
H39,O12,Outdoor Cinema/Event Space,14.25,0.0525
H39,O12,Creative Corridor,14.25,0.0328
H39,O12,Flexible Space,14.25,0.0197
H39,O12,Offline Retreat,14.25,0.0131
H39,O12,Viewpoint,14.25,0.0118
H39,O12,Residents Space,14.25,0.0013
H28,O12,Outdoor Cinema/Event Space,15.82,0.0357
H28,O12,Creative Corridor,15.82,0.0178
H28,O12,Viewpoint,15.82,0.0059
H28,O12,Residents Space,15.82,0.0059
H28,O12,Community Pool/BBQ,15.82,0.0416
H28,O12,Outdoor Meeting Room,15.82,0.0119
H32,O13,Outdoor Cinema/Event Space,3.75,0.1684
H32,O13,Creative Corridor,3.75,0.1053
H32,O13,Flexible Space,3.75,0.0632
H32,O13,Offline Retreat,3.75,0.0421
H32,O13,Viewpoint,3.75,0.0379
H32,O13,Residents Space,3.75,0.0042
H36,O13,Healing Garden,6.05,0.0709
H36,O13,Green Corridor,6.05,0.0567
H36,O13,Sunbath,6.05,0.0113
H36,O13,Community Pool/BBQ,6.05,0.0851
H36,O13,Sports,6.05,0.0567
H36,O13,Residents Space,6.05,0.0028
H35,O13,Sports,7.39,0.0834
H35,O13,Outdoor Cinema/Event Space,7.39,0.0715
H35,O13,Community Pool/BBQ,7.39,0.0834
H10,O13,Urban Agriculture Garden,8.6,0.0469
H10,O13,Healing Garden,8.6,0.0391
H10,O13,Biodiversity Balcony,8.6,0.0078
H10,O13,Viewpoint,8.6,0.0172
H10,O13,Green Corridor,8.6,0.0156
H10,O13,Offline Retreat,8.6,0.0219
H10,O13,Community Pool/BBQ,8.6,0.0078
H10,O13,Residents Space,8.6,0.0016
H1,O13,Flexible Space,9.12,0.0099
H1,O13,Community Pool/BBQ,9.12,0.0395
H1,O13,Outdoor Cinema/Event Space,9.12,0.0247
H1,O13,Viewpoint,9.12,0.0099
H1,O13,Offline Retreat,9.12,0.0089
H1,O13,Residents Space,9.12,0.001
H34,O14,Outdoor Cinema/Event Space,3.75,0.1053
H34,O14,Creative Corridor,3.75,0.0421
H34,O14,Viewpoint,3.75,0.0842
H34,O14,Flexible Space,3.75,0.0632
H34,O14,Community Pool/BBQ,3.75,0.1053
H34,O14,Residents Space,3.75,0.0211
H37,O14,Playground,6.05,0.0284
H37,O14,Sports,6.05,0.1418
H37,O14,Community Pool/BBQ,6.05,0.0851
H37,O14,Sunbath,6.05,0.0113
H37,O14,Viewpoint,6.05,0.0142
H37,O14,Residents Space,6.05,0.0028
H39,O14,Outdoor Cinema/Event Space,7.39,0.0954
H39,O14,Creative Corridor,7.39,0.0596
H39,O14,Flexible Space,7.39,0.0358
H39,O14,Offline Retreat,7.39,0.0238
H39,O14,Viewpoint,7.39,0.0215
H39,O14,Residents Space,7.39,0.0024
H38,O14,Sports,9.03,0.0698
H38,O14,Outdoor Cinema/Event Space,9.03,0.0598
H38,O14,Community Pool/BBQ,9.03,0.0698
H31,O14,Urban Agriculture Garden,9.75,0.0558
H31,O14,Healing Garden,9.75,0.0465
H31,O14,Biodiversity Balcony,9.75,0.0093
H31,O14,Viewpoint,9.75,0.0205
H31,O14,Green Corridor,9.75,0.0186
H31,O14,Offline Retreat,9.75,0.026
H31,O14,Community Pool/BBQ,9.75,0.0093
H31,O14,Residents Space,9.75,0.0019
H36,O15,Healing Garden,3.75,0.1053
H36,O15,Green Corridor,3.75,0.0842
H36,O15,Sunbath,3.75,0.0168
H36,O15,Community Pool/BBQ,3.75,0.1263
H36,O15,Sports,3.75,0.0842
H36,O15,Residents Space,3.75,0.0042
H32,O15,Outdoor Cinema/Event Space,5.25,0.128
H32,O15,Creative Corridor,5.25,0.08
H32,O15,Flexible Space,5.25,0.048
H32,O15,Offline Retreat,5.25,0.032
H32,O15,Viewpoint,5.25,0.0288
H32,O15,Residents Space,5.25,0.0032
H10,O15,Urban Agriculture Garden,10.2,0.0402
H10,O15,Healing Garden,10.2,0.0335
H10,O15,Biodiversity Balcony,10.2,0.0067
H10,O15,Viewpoint,10.2,0.0147
H10,O15,Green Corridor,10.2,0.0134
H10,O15,Offline Retreat,10.2,0.0188
H10,O15,Community Pool/BBQ,10.2,0.0067
H10,O15,Residents Space,10.2,0.0013
H12,O15,Urban Agriculture Garden,10.2,0.0402
H12,O15,Healing Garden,10.2,0.0335
H12,O15,Biodiversity Balcony,10.2,0.0067
H12,O15,Viewpoint,10.2,0.0147
H12,O15,Green Corridor,10.2,0.0134
H12,O15,Offline Retreat,10.2,0.0188
H12,O15,Community Pool/BBQ,10.2,0.0067
H12,O15,Residents Space,10.2,0.0013
H35,O15,Sports,11.45,0.0562
H35,O15,Outdoor Cinema/Event Space,11.45,0.0482
H35,O15,Community Pool/BBQ,11.45,0.0562
H10,O16,Urban Agriculture Garden,4.03,0.0895
H10,O16,Healing Garden,4.03,0.0746
H10,O16,Biodiversity Balcony,4.03,0.0149
H10,O16,Viewpoint,4.03,0.0328
H10,O16,Green Corridor,4.03,0.0298
H10,O16,Offline Retreat,4.03,0.0417
H10,O16,Community Pool/BBQ,4.03,0.0149
H10,O16,Residents Space,4.03,0.003
H35,O16,Sports,5.03,0.1161
H35,O16,Outdoor Cinema/Event Space,5.03,0.0995
H35,O16,Community Pool/BBQ,5.03,0.1161
H13,O16,Playground,9.71,0.014
H13,O16,Sports,9.71,0.07
H13,O16,Community Pool/BBQ,9.71,0.042
H13,O16,Sunbath,9.71,0.0056
H13,O16,Viewpoint,9.71,0.007
H13,O16,Residents Space,9.71,0.0014
H36,O16,Healing Garden,10.74,0.0426
H36,O16,Green Corridor,10.74,0.0341
H36,O16,Sunbath,10.74,0.0068
H36,O16,Community Pool/BBQ,10.74,0.0511
H36,O16,Sports,10.74,0.0341
H36,O16,Residents Space,10.74,0.0017
H32,O16,Outdoor Cinema/Event Space,12.57,0.059
H32,O16,Creative Corridor,12.57,0.0368
H32,O16,Flexible Space,12.57,0.0221
H32,O16,Offline Retreat,12.57,0.0147
H32,O16,Viewpoint,12.57,0.0133
H32,O16,Residents Space,12.57,0.0015
H38,O17,Sports,5.03,0.1161
H38,O17,Outdoor Cinema/Event Space,5.03,0.0995
H38,O17,Community Pool/BBQ,5.03,0.1161
H39,O17,Outdoor Cinema/Event Space,5.03,0.1327
H39,O17,Creative Corridor,5.03,0.0829
H39,O17,Flexible Space,5.03,0.0498
H39,O17,Offline Retreat,5.03,0.0332
H39,O17,Viewpoint,5.03,0.0299
H39,O17,Residents Space,5.03,0.0033
H34,O17,Outdoor Cinema/Event Space,12.02,0.0384
H34,O17,Creative Corridor,12.02,0.0154
H34,O17,Viewpoint,12.02,0.0307
H34,O17,Flexible Space,12.02,0.023
H34,O17,Community Pool/BBQ,12.02,0.0384
H34,O17,Residents Space,12.02,0.0077
H31,O17,Urban Agriculture Garden,12.21,0.0454
H31,O17,Healing Garden,12.21,0.0379
H31,O17,Biodiversity Balcony,12.21,0.0076
H31,O17,Viewpoint,12.21,0.0167
H31,O17,Green Corridor,12.21,0.0151
H31,O17,Offline Retreat,12.21,0.0212
H31,O17,Community Pool/BBQ,12.21,0.0076
H31,O17,Residents Space,12.21,0.0015
H37,O17,Playground,12.3,0.015
H37,O17,Sports,12.3,0.0752
H37,O17,Community Pool/BBQ,12.3,0.0451
H37,O17,Sunbath,12.3,0.006
H37,O17,Viewpoint,12.3,0.0075
H37,O17,Residents Space,12.3,0.0015
H36,O18,Healing Garden,3.75,0.1053
H36,O18,Green Corridor,3.75,0.0842
H36,O18,Sunbath,3.75,0.0168
H36,O18,Community Pool/BBQ,3.75,0.1263
H36,O18,Sports,3.75,0.0842
H36,O18,Residents Space,3.75,0.0042
H12,O18,Urban Agriculture Garden,4.47,0.0823
H12,O18,Healing Garden,4.47,0.0686
H12,O18,Biodiversity Balcony,4.47,0.0137
H12,O18,Viewpoint,4.47,0.0302
H12,O18,Green Corridor,4.47,0.0274
H12,O18,Offline Retreat,4.47,0.0384
H12,O18,Community Pool/BBQ,4.47,0.0137
H12,O18,Residents Space,4.47,0.0027
H3,O18,Urban Agriculture Garden,9.12,0.0296
H3,O18,Healing Garden,9.12,0.0247
H3,O18,Biodiversity Balcony,9.12,0.0049
H3,O18,Viewpoint,9.12,0.0109
H3,O18,Green Corridor,9.12,0.0099
H3,O18,Offline Retreat,9.12,0.0138
H3,O18,Community Pool/BBQ,9.12,0.0049
H3,O18,Residents Space,9.12,0.001
H13,O18,Playground,10.2,0.0134
H13,O18,Sports,10.2,0.067
H13,O18,Community Pool/BBQ,10.2,0.0402
H13,O18,Sunbath,10.2,0.0054
H13,O18,Viewpoint,10.2,0.0067
H13,O18,Residents Space,10.2,0.0013
H10,O18,Urban Agriculture Garden,10.77,0.0382
H10,O18,Healing Garden,10.77,0.0319
H10,O18,Biodiversity Balcony,10.77,0.0064
H10,O18,Viewpoint,10.77,0.014
H10,O18,Green Corridor,10.77,0.0127
H10,O18,Offline Retreat,10.77,0.0178
H10,O18,Community Pool/BBQ,10.77,0.0064
H10,O18,Residents Space,10.77,0.0013
H39,O19,Outdoor Cinema/Event Space,3.75,0.1684
H39,O19,Creative Corridor,3.75,0.1053
H39,O19,Flexible Space,3.75,0.0632
H39,O19,Offline Retreat,3.75,0.0421
H39,O19,Viewpoint,3.75,0.0379
H39,O19,Residents Space,3.75,0.0042
H15,O19,Outdoor Cinema/Event Space,8.25,0.0486
H15,O19,Creative Corridor,8.25,0.0243
H15,O19,Viewpoint,8.25,0.0081
H15,O19,Residents Space,8.25,0.0081
H15,O19,Community Pool/BBQ,8.25,0.0568
H15,O19,Outdoor Meeting Room,8.25,0.0162
H37,O19,Playground,9.75,0.0186
H37,O19,Sports,9.75,0.093
H37,O19,Community Pool/BBQ,9.75,0.0558
H37,O19,Sunbath,9.75,0.0074
H37,O19,Viewpoint,9.75,0.0093
H37,O19,Residents Space,9.75,0.0019
H11,O19,Playground,12.21,0.0114
H11,O19,Sports,12.21,0.0568
H11,O19,Community Pool/BBQ,12.21,0.0341
H11,O19,Sunbath,12.21,0.0045
H11,O19,Viewpoint,12.21,0.0057
H11,O19,Residents Space,12.21,0.0011
H38,O19,Sports,12.21,0.053
H38,O19,Outdoor Cinema/Event Space,12.21,0.0454
H38,O19,Community Pool/BBQ,12.21,0.053
H13,O20,Playground,2.83,0.0392
H13,O20,Sports,2.83,0.1958
H13,O20,Community Pool/BBQ,2.83,0.1175
H13,O20,Sunbath,2.83,0.0157
H13,O20,Viewpoint,2.83,0.0196
H13,O20,Residents Space,2.83,0.0039
H10,O20,Urban Agriculture Garden,4.47,0.0823
H10,O20,Healing Garden,4.47,0.0686
H10,O20,Biodiversity Balcony,4.47,0.0137
H10,O20,Viewpoint,4.47,0.0302
H10,O20,Green Corridor,4.47,0.0274
H10,O20,Offline Retreat,4.47,0.0384
H10,O20,Community Pool/BBQ,4.47,0.0137
H10,O20,Residents Space,4.47,0.0027
H16,O20,Sports,8.25,0.0568
H16,O20,Outdoor Cinema/Event Space,8.25,0.0486
H16,O20,Community Pool/BBQ,8.25,0.0568
H36,O20,Healing Garden,10.2,0.0446
H36,O20,Green Corridor,10.2,0.0357
H36,O20,Sunbath,10.2,0.0071
H36,O20,Community Pool/BBQ,10.2,0.0536
H36,O20,Sports,10.2,0.0357
H36,O20,Residents Space,10.2,0.0018
H12,O20,Urban Agriculture Garden,10.77,0.0382
H12,O20,Healing Garden,10.77,0.0319
H12,O20,Biodiversity Balcony,10.77,0.0064
H12,O20,Viewpoint,10.77,0.014
H12,O20,Green Corridor,10.77,0.0127
H12,O20,Offline Retreat,10.77,0.0178
